COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	i n + tɬ i								
2-1	aː + tɬ								
8-1	i n + tɬ i								
16-1	aː + tɬ								
24-1	i n + t i k								
32-1	i n + tɬ i								
51-1	i n + tɬ i								
52-1	tɬ a n + tɬ i								
53-1	tɬ a n + tɬ i								
54-1	tɬ a n + tɬ i								
55-1	k w a + tɬ								
60-1	i n + tɬ i								
83-1	aː + tɬ								
87-1	tɬ a n + tɬ i								
92-1	tɬ a n + tɬ i								
103-1	i n + tɬ i								
106-1	tɬ a n + tɬ i								
138-1	aː + tɬ								
139-1	j o + tɬ								
142-1	tɬ a n + tɬ i								
145-1	j o + tɬ								
176-1	tɬ a n + tɬ i								
179-1	tɬ a n + tɬ i								
180-1	aː + tɬ i								
186-1	tɬ a n + tɬ i								
190-1	tɬ a n + tɬ i								
194-1	i n + tɬ i								
220-1	i n + tɬ i								
231-1	i n + tɬ i								
240-1	i n + tɬ i								
283-1	i s w a + tɬ								
293-1	i n + t i k								
314-1	tɬ a n + tɬ i								
315-1	i n + tɬ i								
322-1	i s w a + tɬ								
323-1	i n + tɬ i								
9-1	i s w a + tɬ								
17-1	i n + tɬ i								
22-1	i s w a + tɬ								
30-1	i n + tɬ i								
88-1	i n + tɬ i								
158-1	eː w a + tɬ								
159-1	i n + tɬ i								
177-1	tɬ a n + tɬ i								
184-1	i s w a + tɬ								
187-1	tɬ a n + tɬ i								
227-1	i n + tɬ i								
1-2		t aː n							
2-2		t aː n							
8-2		t e k							
16-2		t e k							
24-2		t aː n							
32-2		t e k							
51-2		t aː n							
52-2		t aː n							
53-2		t aː n							
54-2		t aː n							
55-2		t i k							
60-2		j u + t i							
83-2		t aː n							
87-2		t aː n							
92-2		t aː n							
103-2		t e k							
106-2		t aː n							
138-2		t aː n							
139-2		t e k							
142-2		t e k							
145-2		t aː n							
176-2		t i k							
179-2		t aː n							
180-2		t e k							
186-2		t e k							
190-2		t e k							
194-2		t e k							
220-2		t e k							
231-2		t aː n							
240-2		t aː n							
283-2		t e k							
293-2		t aː n							
314-2		ts u n + t i							
315-2		t aː n							
322-2		t aː n							
323-2		t aː n							
9-2		t aː n							
17-2		t e k							
22-2		t aː n							
88-2		t aː n							
158-2		t aː n							
159-2		t e k							
177-2		t e k							
184-2		t e k							
187-2		t aː n							
227-2		t aː n							
1-3			t i + t i						
2-3			t i + t i						
8-3			t i + t i						
16-3			t i + t i						
24-3			t i + t i						
32-3			t i + t i						
51-3			t i + t i						
52-3			t i + t i						
53-3			t i + t i						
54-3			t i + t i						
55-3			t i + t i						
60-3			t i + t i						
83-3			t i + t i						
87-3			t i + t i						
92-3			t i + t i						
103-3			t i + t i						
106-3			t i + t i						
138-3			t i + t i						
139-3			t i + t i						
142-3			t i + t i						
145-3			t i + t i						
176-3			t i + t i						
179-3			t i + t i						
180-3			t i + t i						
186-3			t i + t i						
190-3			t i + t i						
194-3			t i + t i						
220-3			t i + t i						
231-3			t i + t i						
240-3			t i + t i						
283-3			t i + t i						
293-3			t i + t i						
314-3			t i + t i						
315-3			t i + t i						
322-3			t i + t i						
323-3			t i + t i						
9-3			t i + t i						
17-3			t i + t i						
22-3			t i + t i						
30-3			t i + t i						
88-3			t i + t i						
158-3			t i + t i						
159-3			t i + t i						
177-3			t i + t i						
184-3			t i + t i						
187-3			t i + t i						
227-3			t i + t i						
1-4				m o + tɬ i					
2-4				t o n + tɬ i					
8-4				j e w a + tɬ					
16-4				j e w a + tɬ					
24-4				i h t e					
32-4				m o + tɬ i					
51-4				m o + tɬ i					
52-4				t e w a + tɬ					
53-4				tɬ a n + tɬ i					
54-4				m o + tɬ i					
55-4				j e w a + tɬ					
60-4				m o + tɬ i					
83-4				a + tɬ					
87-4				m o + tɬ i					
92-4				j e w a + tɬ					
103-4				t e w a + tɬ					
106-4				j o n + tɬ i					
138-4				t e w a + tɬ					
139-4				m o + tɬ i					
142-4				m o + tɬ i					
145-4				j e w a + tɬ					
176-4				tɬ a n + tɬ					
179-4				j e w a + tɬ					
180-4				m o + tɬ i					
186-4				j e w a + tɬ					
190-4				j e w a + tɬ					
194-4				m o + tɬ i					
220-4				j o + tɬ i					
231-4				t e w a + tɬ					
240-4				j o n + tɬ i					
283-4				t e w a + tɬ					
293-4				i n + o n					
314-4				j e w a + tɬ					
315-4				i h t e					
322-4				t e h w a					
323-4				a + tɬ					
9-4				t e w a + tɬ					
17-4				j e w a + tɬ					
30-4				j e w a + tɬ					
88-4				m o + tɬ i					
158-4				j e w a + tɬ					
177-4				j e w a l i					
184-4				t o n + tɬ i					
187-4				j e w a l i					
227-4				m o + tɬ i					
1-5					aː + t				
2-5					aː + t				
8-5					m o + t i				
16-5					m o + t i				
24-5					aː + t				
32-5					aː + t				
51-5					aː + t				
52-5					aː + t				
53-5					aː + t				
54-5					m o + t i				
55-5					aː + t				
60-5					b e t a n				
83-5					b e t a n				
87-5					aː + t				
92-5					aː + t				
103-5					m o + t i				
106-5					aː + t				
138-5					m o + t i				
139-5					aː + t				
142-5					aː + t				
145-5					aː + t				
176-5					aː + t				
179-5					aː + t				
180-5					m o + t i				
186-5					aː + t				
190-5					aː + t				
194-5					m o + t i				
220-5					aː + t				
231-5					aː + t				
240-5					m o + t i				
283-5					aː + t				
293-5					t eː n				
314-5					aː + t				
315-5					m o + t i				
322-5					b e t a n				
323-5					m o + t i				
9-5					m o + t i				
17-5					aː + t				
22-5					b e t a n				
30-5					aː + t				
88-5					m o + t i				
158-5					m o + t i				
159-5					b e t a n				
177-5					m o + t i				
184-5					m o + t i				
187-5					m o + t i				
227-5					m o + t i				
1-6						t eː n			
2-6						t eː n			
8-6						t a + t			
16-6						t eː n			
24-6						t eː n			
32-6						t eː n			
51-6						t eː n			
52-6						t u + t i			
53-6						t eː n			
54-6						t a + t			
55-6						t a + t			
60-6						t eː n			
83-6						t a + t			
87-6						t a + t			
92-6						t eː n			
103-6						t a + t			
106-6						t eː n			
138-6						t a + t			
139-6						t eː n			
142-6						t a + t			
145-6						t eː n			
176-6						t a + t			
179-6						t a + t			
180-6						t eː n			
186-6						t eː n			
190-6						t a + t			
194-6						t eː n			
220-6						t eː n			
231-6						t a + t			
240-6						t eː n			
283-6						t a + t			
293-6						t a + t			
314-6						t a + t			
315-6						t a + t			
322-6						t eː n			
323-6						t a + t			
9-6						t u + t i			
17-6						t eː n			
22-6						t a + t			
30-6						t eː n			
88-6						t a + t			
158-6						t a + t			
159-6						t eː n			
177-6						t a + t			
184-6						t u + t i			
187-6						t u + t i			
227-6						t a + t			
1-7							a + t		
2-7							a + t		
8-7							a + t		
16-7							a + t		
24-7							a + t		
32-7							a + t		
51-7							a + t		
52-7							a + t		
53-7							a + t		
54-7							a + t		
55-7							a + t		
60-7							a + t		
83-7							a + t		
87-7							a + t		
92-7							a + t		
103-7							a + t		
106-7							a + t		
138-7							a + t		
139-7							a + t		
142-7							a + t		
145-7							a + t		
176-7							a + t		
179-7							a + t		
180-7							a + t		
186-7							a + t		
190-7							a + t		
194-7							a + t		
220-7							a + t		
231-7							a + t		
240-7							a + t		
283-7							a + t		
293-7							a + t		
314-7							a + t		
315-7							a + t		
322-7							a + t		
323-7							a + t		
17-7							a + t		
22-7							a + t		
30-7							a + t		
159-7							a + t		
1-8								k w a + k	
2-8								k w a + k	
8-8								k w a + k	
16-8								k w a + tɬ ɨ	
24-8								k w a + tɬ ɨ	
32-8								k w a + tɬ ɨ	
51-8								k w a + k	
52-8								k w a + k	
53-8								k w a + k	
54-8								k w a + k	
55-8								k w a + k	
60-8								k w a + k	
83-8								k w a + tɬ ɨ	
87-8								k w a + k	
92-8								k w a + k	
