COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r i									
18-1	n a ɴ θ ɨ									
35-1	h i r u s i									
36-1	h u s u									
48-1	n a g a									
60-1	θ u b u r i									
63-1	s i n a									
64-1	k i r i									
67-1	h a g i									
68-1	n eː θ a									
71-1	h i r u s i									
76-1	h u ɴ									
83-1	θ u b u r i									
87-1	h a ɴ g e									
95-1	m i tɕ u r i									
98-1	w a θ a									
99-1	k u b i									
-102-1	s i n a									
103-1	k u b i									
110-1	θ ɨ ɴ									
116-1	θ u b u r i									
120-1	n o u r i									
132-1	k i r i									
139-1	k u b i									
140-1	o u θ u									
156-1	w a θ a									
168-1	s i mʲ u r i									
169-1	h u s u									
170-1	m iː s a r i									
173-1	ʔ i k i									
180-1	k u b i									
185-1	h a ɴ g e									
186-1	m u θ u r i									
187-1	mʲ uː r i									
190-1	ʔ a ɴ tɕ u									
193-1	k i r i									
194-1	s i mʲ u r i									
195-1	x u r i									
216-1	m a sː ɨ g u									
221-1	n o g a									
239-1	ʔ i x i									
252-1	m iː s a r i									
253-1	j u r u									
254-1	ʔ i k i r u r i									
266-1	x a m a									
267-1	n a ɴ θ ɨ									
268-1	ʔ u d u ɴ									
272-1	ʔ a r ɨ									
276-1	ʔ a kː u r i									
281-1	m u s u b u									
304-1	ts ɨ n a									
305-1	s i r u r i									
308-1	w a θ a									
309-1	k u b i									
310-1	θ u dʑ i									
311-1	n eː θ a									
342-1	k u b i									
346-1	k u b i									
347-1	k i r i									
348-1	h i ɴ									
351-1	θ u dʑ i									
361-1	ʔ u θ u r i									
379-1	x ɨ ɴ x o									
394-1	h i sː a r i									
395-1	mʲ uː r i									
400-1	h i sː a r i									
412-1	h i sː a r i									
413-1	m a sː ɨ g u									
414-1	h u s u									
422-1	h u ɴ									
423-1	x ɨ ɴ x o									
430-1	h a g u									
435-1	h u s u									
446-1	s i n a									
447-1	ʔʲ u									
458-1	θ u b u r i									
56-1	h u s u									
62-1	s i mʲ u r i									
70-1	h a ɴ g e									
96-1	ts ɨ n a									
101-1	h a g i									
14-2		k o r i								
18-2		d e								
35-2		h i r u m a								
36-2		h e tsː o g o								
48-2		n a kː j a								
60-2		d e								
63-2		s e b a kʲ a								
64-2		k iː								
67-2		h a g i								
68-2		n e t e								
71-2		i pː i a								
76-2		h e tsː o g o								
83-2		ts u n a								
87-2		h a g i								
95-2		m i								
98-2		h a								
99-2		k u b i								
-102-2		s i ɴ z oː								
103-2		ts u n a								
110-2		d e								
116-2		m u n i								
120-2		n o m u								
132-2		k i m o								
139-2		k o s u								
140-2		o s u								
156-2		t a m a g o								
168-2		k i r i								
169-2		h o s i								
170-2		m i								
173-2		i pː i a								
180-2		k o s i								
185-2		h a n e								
186-2		m o s i								
187-2		m i								
190-2		a s i								
193-2		k i r i								
194-2		s i m e								
195-2		k u b i								
216-2		m a kː j a								
221-2		n a g a								
239-2		i t e								
252-2		m i								
253-2		j o r u								
254-2		i t e								
266-2		k u a								
267-2		n a kː j a								
268-2		u m u								
272-2		a s i								
276-2		a ts u kʲ a								
281-2		m u s i								
304-2		ts u n a								
305-2		h i								
308-2		h a								
309-2		k u a								
310-2		o b a								
311-2		n e t e								
342-2		j u								
346-2		k u a								
347-2		k i r i								
348-2		h i r u m a								
351-2		d e								
361-2		o s u								
379-2		k u a								
394-2		h i r u m a								
395-2		m i								
400-2		h e tsː o g o								
412-2		s e b a kʲ a								
413-2		m i t e								
414-2		h oː r u								
422-2		h u r u								
423-2		k u a tː e								
430-2		h a g i								
435-2		h oː r u								
446-2		s i ɴ z oː								
447-2		u m u								
458-2		d e								
56-2		h i								
65-2		k u a								
70-2		w a r e								
75-2		k u a								
14-3			k oː i							
18-3			d a r u							
35-3			h i j i							
36-3			h u t e							
48-3			n a g u							
60-3			t o i							
63-3			s e m e							
64-3			k e i							
67-3			h a r a							
68-3			n a k u							
71-3			tɕ i							
76-3			h e							
83-3			ts u n a							
87-3			h a i n e							
95-3			m i							
98-3			h a i n e							
99-3			k ui							
-102-3			s e m e							
103-3			j u i u							
110-3			d e							
116-3			n u i u							
120-3			n uː							
132-3			k i j i							
139-3			k o i u							
140-3			o ts u							
156-3			t a iː							
168-3			tɕ i k e							
169-3			h o k a							
170-3			m iː							
173-3			e i s							
180-3			k ui							
185-3			h e							
186-3			m iː							
187-3			m i							
190-3			a j u ɴ							
193-3			k i r u							
194-3			s iː ɴ							
195-3			k ui r u							
216-3			m a g u							
221-3			n a iː							
239-3			i j i							
252-3			m i							
253-3			j u i u							
254-3			i j i							
266-3			k a e t a							
267-3			n a g u							
268-3			o i k							
272-3			a iː							
276-3			a iː							
281-3			m iː							
304-3			ts u n a							
305-3			tɕ i							
308-3			h a i n e							
309-3			k ui							
310-3			t o i							
311-3			n uː							
342-3			j u i u							
346-3			k ui r u							
347-3			k i j i							
348-3			h i j i							
351-3			t o i							
361-3			o i s							
379-3			k ui r a							
394-3			h i j i							
395-3			m iː							
400-3			h i j i							
412-3			s u b a							
413-3			m i ɕ k u							
414-3			ɸ u r i							
422-3			ɸ u iː							
423-3			k a e t a							
430-3			h a iː							
435-3			ɸ u r i							
446-3			s iː ɴ							
447-3			iː o							
458-3			t o i							
56-3			h i j i							
62-3			n uː							
65-3			k a							
70-3			t a iː							
75-3			k a i w a							
96-3			m iː							
101-3			h a iː							
14-4				k oː r u						
18-4				d e						
35-4				h i j o						
36-4				h u r ui						
48-4				n a i						
60-4				t o b u						
63-4				s i j a i						
64-4				k e						
67-4				h a r a						
68-4				n uː						
71-4				h i						
76-4				h o k a i						
83-4				t u n a						
87-4				h a n a i						
95-4				m i						
98-4				h a n a i						
99-4				k u b i						
-102-4				s i j a i						
103-4				t u b u						
110-4				eː						
116-4				m u b u						
120-4				n u r u						
132-4				k i r u						
139-4				k o m u r u						
140-4				o d o r u						
156-4				t a b u						
168-4				t u n a						
169-4				h o k o						
170-4				m i						
173-4				i k e						
180-4				k u m u						
185-4				h i						
186-4				m u r u						
187-4				m i						
190-4				a t ui						
193-4				k i r i						
194-4				s i tː j uː						
195-4				k u b i						
216-4				m a sː u						
221-4				n a i						
239-4				i k u						
252-4				m i r u						
253-4				j o r u						
254-4				i k e						
266-4				k a w a						
267-4				n a r u						
268-4				u d e						
272-4				a t ui						
276-4				a r u k u						
281-4				m u s u b u						
304-4				t u n a						
305-4				t u t i						
308-4				h a n a i						
309-4				k u b i						
310-4				o						
311-4				n a i						
342-4				j uː						
346-4				k u b i						
347-4				k i r u						
348-4				h i r u m a						
351-4				d e						
361-4				o d o d o						
379-4				k u b i						
394-4				h i j a i						
395-4				m i tʲ uː						
400-4				h i j a i						
412-4				s e b a i						
413-4				t u b u						
414-4				h o r u						
422-4				h u r u k u						
423-4				k a w a						
430-4				h a r u						
435-4				h u r ui						
446-4				s i j a i						
447-4				u d e						
458-4				t o b u						
56-4				h i j o						
62-4				i j uː						
65-4				k a n a						
70-4				s u n a						
75-4				k a w a						
96-4				m i						
101-4				h a r a						
14-5					k oː r i					
18-5					d a r ui					
35-5					h i r u					
36-5					h u r ui					
48-5					n a w a					
60-5					t o b u					
63-5					s i ɴ					
64-5					k eː					
67-5					h a r a					
68-5					n uː					
71-5					ts uː					
76-5					h e s o					
83-5					ts u tɕ i					
87-5					h a r e					
95-5					m i r i					
98-5					h a r a					
99-5					k u b i					
-102-5					s i ɴ z oː					
103-5					ts u tɕ i					
110-5					t e ɴ					
116-5					m u b i					
120-5					n uː					
132-5					k i r e r u					
139-5					k o d o ts u					
140-5					o tɕ i r u					
156-5					t a b e r u					
168-5					ts u tɕ i					
169-5					h o k o					
170-5					m i r u					
173-5					i k i					
180-5					k u s i					
185-5					h iː					
186-5					m i r u					
187-5					m i r i					
190-5					a k aː					
193-5					k i r i					
194-5					s i r u					
195-5					k u b i					
216-5					m a sː i					
221-5					n a i					
239-5					i k u					
252-5					m i r u					
253-5					j o r u					
254-5					i r u					
266-5					k a w a					
267-5					n a r ui					
268-5					o tɕ i					
272-5					a r e					
276-5					a r e					
281-5					m u s i					
304-5					ts u tɕ i					
305-5					ts u tɕ i					
308-5					h a r a					
309-5					k u s i					
310-5					t o b u					
311-5					n uː					
342-5					k u b i					
346-5					k u b i					
347-5					k i r i					
348-5					h i r u					
351-5					d e					
361-5					o t o k o					
379-5					k u b i					
394-5					h i r u m a					
395-5					m i r i					
400-5					h i r u m a					
412-5					s e b i					
413-5					ts u tɕ i					
414-5					h o k o r u					
422-5					h u r u					
423-5					k a w a i					
430-5					h a r a					
435-5					h u r u					
446-5					s i ɴ					
447-5					w a r ui					
458-5					t o s i					
56-5					h i r o					
62-5					i r u					
65-5					k a k a					
70-5					t a b e r u					
75-5					k a w a					
96-5					m iː					
