COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r i									
18-1	dʑ a r i									
35-1	h i tɕ u θ u r i									
36-1	h u θ a u s a r i									
48-1	n a g a s a r i									
60-1	θ u r i									
63-1	s i r a r i									
64-1	k i									
67-1	h w a									
68-1	n ɨ									
71-1	tɕ i									
76-1	h u n ɨ									
83-1	ts ɨ n u									
87-1	h a n ɨ									
95-1	m i m i									
98-1	h a n a									
99-1	k u r i									
-102-1	s i θ a									
103-1	k i m s a r i									
110-1	θ ɨ									
116-1	m u n ɨ									
120-1	n u b u r i									
132-1	k i k u r i									
139-1	k u r u s u r i									
140-1	ʔ w ɨː dʑ u r i									
156-1	θ a r e θ ɨ r u r i									
168-1	ts ɨ k i									
169-1	h u s i									
170-1	n i g i r i									
173-1	ʔ i s i									
180-1	k u r i m o									
185-1	h a s a r i									
186-1	m u ɨ r u r i									
187-1	n i g i r i									
190-1	ʔ a x a s a r i									
193-1	k i r u r i									
194-1	s i r u s a r i									
195-1	k u r u s a r i									
216-1	m a r u s a r i									
221-1	n a									
239-1	i tɕ u r i									
252-1	m ɨː tɕ i									
253-1	ʔʲ u r i									
254-1	i θ ɨ r u r i									
266-1	x a s a s a r i									
267-1	n a g a r ɨ r u r i									
268-1	u b i									
272-1	a m a s a r i									
276-1	ʔ a r a u r i									
281-1	m u s i									
304-1	k i r i									
305-1	k i r i									
308-1	h a n a									
309-1	k u s a									
310-1	θ u									
311-1	n i									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o ts u								
36-2		h u t a ts u								
48-2		n a g a kʲ a								
60-2		t o r i								
63-2		s i r a m i								
64-2		k i								
67-2		h a								
68-2		n e								
71-2		tɕ i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o j o g u								
156-2		t a r e r u								
168-2		ts u k i								
169-2		h o s i								
170-2		m i								
173-2		i s i								
180-2		k u m o								
185-2		h a kʲ a								
186-2		m o e r u								
187-2		m i tɕ i								
190-2		a k a kʲ a								
193-2		k i r o kʲ a								
194-2		s i r o kʲ a								
195-2		k u r o kʲ a								
216-2		m a r u kʲ a								
221-2		n a								
239-2		i ts u								
252-2		m i								
253-2		j o r u								
254-2		i ts u ts u								
266-2		k a z e								
267-2		n a g a r e r u								
268-2		u m i								
272-2		a m e								
276-2		a r a u								
281-2		m u s i								
304-2		ts u b a								
305-2		tɕ i tɕ i								
308-2		h a n a								
309-2		k u s a								
310-2		t o								
311-2		n i								
14-3			k o r e							
18-3			d a r e							
35-3			h iː t o ts u							
36-3			h u t a ts u							
48-3			n a g a i							
60-3			t o r i							
63-3			s i r a m i							
64-3			k i							
67-3			h a							
68-3			n e							
71-3			tɕ i							
76-3			h o n e							
83-3			ts u n o							
87-3			h a n e							
95-3			m i m i							
98-3			h a n a							
99-3			k u tɕ i							
-102-3			s i t a							
103-3			ts u m e							
110-3			t e							
116-3			m u n e							
120-3			n o i m ui							
132-3			k i k u							
139-3			k o r o s u							
140-3			o j o g u							
156-3			t a i j i tɕ o							
168-3			ts u k i							
169-3			h o ɕ							
170-3			m i z u							
173-3			i s i							
180-3			k u m o							
185-3			h a i							
186-3			m o u							
187-3			m i tɕ i							
190-3			a k a i							
193-3			k i r o							
194-3			s i r e							
195-3			k u r e							
