COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
5263-1	x e ⁵⁵								
452-1	t ɯ ²¹								
4342-1	t ɯ ²¹								
4344-1	ʈʂ ɯ ³¹								
5487-1	t ɯ ²¹								
1401-1	pʰ ɛ ⁴⁴								
6496-1	ʈʂ ɯ ³¹								
1064-1	l ɛ ⁵⁵								
1065-1	kʲ i ³¹								
6617-1	t ɔ ²¹								
4367-1	t a ²¹								
4378-1	ɕ i ⁵⁵								
4379-1	l ɛ ⁵⁵								
3984-1	ʂ e ³³								
5086-1	ʈʂ ɤ ³³								
3333-1	ʂ e ⁴²								
2226-1	x ɔ ³⁵								
2373-1	kʰ w a ³³								
2363-1	s ɿ ⁵⁵								
672-1	ʈʂʰ ɛ ⁵⁵								
673-1	k ɯ ³¹								
2690-1	p ɔ ³¹								
6337-1	p ɛ ⁴⁴								
6319-1	ʈʂ ɔ ⁴²								
2617-1	m ɯ ³³								
2066-1	m ɯ ³³								
2094-1	m ɯ ³³								
2096-1	k ɛ ³⁵								
798-1	p ɔ ⁴²								
6668-1	ɕ ɔ ³³								
4028-1	t ɔ ⁴⁴								
6555-1	k a ⁴⁴								
2281-1	k u ⁴⁴								
701-1	k a ⁴⁴								
628-1	ʂ e ⁴²								
3096-1	ts ɿ ³³								
3021-1	ʈʂ ɔ ³¹								
2708-1	ɕ i ⁵⁵								
3462-1	k a ³⁵								
1932-1	s ɿ ³⁵								
6469-1	ʂ ɔ ³¹								
4454-1	ɲ i ²¹								
4455-1	k ɛ ³⁵								
6926-1	ɲ ɤ ³³								
6927-1	ɲ i ²¹								
3916-1	m ɔ ³³								
6822-1	ɲ i ²¹								
5417-1	ts ɿ ³³								
1959-1	x ɔ ³¹								
1960-1	t ɔ ³⁵								
2899-1	x ɔ ³¹								
3651-1	ts ɿ ³³								
811-1	k u ²¹								
1633-1	m ɯ ³¹								
1775-1	k u ²¹								
5801-1	k ɛ ⁴²								
4769-1	l ɔ ³¹								
3720-1	k a ³⁵								
6446-1	m i ³³								
1255-1	pʰ ɛ ⁵⁵								
3595-1	ɲ i ⁴⁴								
1600-1	p e ³³								
242-1	ts ɿ ⁵⁵								
3739-1	k ɛ ³⁵								
5984-1	ʈʂ ɔ ³¹								
838-1	s ɔ ⁵⁵								
839-1	t ɔ ²¹								
3149-1	j i ³⁵								
2829-1	ʈʂ ɤ ³¹								
4602-1	tɕ i ³⁵								
5225-1	l ɔ ²¹								
3933-1	ʐ ɤ ⁴²								
5763-1	ʈʂ ɔ ⁴²								
2134-1	ɕ i ⁵⁵								
5724-1	t ɯ ³⁵								
5704-1	ʈʂ ɔ ⁴²								
5705-1	kʰ w a ⁵⁵								
5037-1	tɕʰ i ³¹								
